"","id","name","projectcode","type","startdate","enddate","moratorium","imis_dataset_id","latitude","longitude"
"54",648,"MBA_Massmo","MBA_Massmo","network",NA,NA,"0",NA,50.24,-4.06
"55",649,"MBA_Wavehub","MBA_Wavehub","network",NA,NA,"0",NA,50.365,-5.611
"56",633,"Limfjord","Limfjord","network",NA,NA,"0",5926,56.9,9.1
"57",634,"SVNL-FISH-WATCH","SVNL-FISH-WATCH","animal",2018-04-01,2018-06-30,"1",5927,NA,NA
"58",635,"SVNL-FISH-WATCH","SVNL-FISH-WATCH","network",2018-04-01,2018-06-30,"0",5927,51.777749,4.213539
"59",641,"BECORV","BECORV","network",NA,NA,"0",5928,38.68273,-9.25165
"60",640,"Inforbiomares","Inforbiomares","network",NA,NA,"0",5929,38.4345,-9.06169
"61",646,"ARAISOLA01","ARAISOLA01","animal",2004-03-01,2004-06-30,"0",5930,38.213,13.23539
"62",650,"ARAISOLA01","ARAISOLA01","network",2004-03-01,2004-06-30,"0",5930,38.213,13.23539
"63",642,"ARAISOLA02","ARAISOLA02","animal",2008-04-01,2008-06-30,"0",5931,38.213,13.23539
"64",651,"ARAISOLA02","ARAISOLA02","network",2008-04-01,2008-06-30,"0",5931,38.213,13.23539
"65",643,"ARAISOLA03","ARAISOLA03","animal",2015-10-01,2015-11-30,"0",5932,38.213,13.23539
"66",652,"ARAISOLA03","ARAISOLA03","network",2015-10-01,2015-11-30,"0",5932,38.213,13.23539
"67",644,"SARTELARAM","SARTELARAM","animal",2004-10-01,2004-11-30,"0",5933,38.03668,12.92499
"68",653,"SARTELARAM","SARTELARAM","network",2004-10-01,2004-11-30,"0",5933,38.03668,12.92499
"69",645,"SARTELZINGARO","SARTELZINGARO","animal",2009-11-01,2010-05-31,"0",5934,38.09775,12.80297
"70",654,"SARTELZINGARO","SARTELZINGARO","network",2009-11-01,2010-05-31,"0",5934,38.09775,12.80297
"71",655,"SARTELTG","SARTELTG","animal",2011-02-01,2011-06-30,"0",5935,NA,NA
"72",656,"SARTELTG","SARTELTG","network",2011-02-01,2011-06-30,"0",5935,NA,NA
"73",1,"Thorntonbank","thornton","network",2010-08-01,2012-10-30,"0",5847,NA,NA
"74",613,"Westerschelde 1","ws1","network",2014-05-01,NA,"0",5844,NA,NA
"75",616,"rangetest","rangetest","animal",2016-02-18,2016-03-10,"1",NA,NA,NA
"76",16,"PhD Jan Reubens","phd_reubens","animal",2010-08-01,2012-10-30,"0",5846,NA,NA
"77",614,"Westerschelde 2","ws2","network",2012-07-01,NA,"0",5845,NA,NA
"78",615,"Westerschelde 3","ws3","network",2015-09-22,NA,"0",5854,NA,NA
"79",5,"Zeeschelde","zeeschelde","network",2014-04-10,NA,"0",5860,NA,NA
